Language,Title,Genre,Hours Viewed
Chinese,The Leopard Cat Scholar,"('Fantasy',)",64000000
Chinese,First Frost,"('Romance',)",115000000
Chinese,Rainkissed Fate,"('Romance',)",15200000
Chinese,Hidden Love,"('Comedy', 'Romance')",37300000
Chinese,I am Married…But!,"('Drama', 'Comedy', 'Romance')",13900000
Chinese,Ski Into Love,"('Drama', 'Romance', 'Sports')",23100000
Chinese,The Story of Pearl Girl,"('Drama', 'Romance')",37000000
Chinese,When I Fly Towards You,"('Comedy', 'Romance')",17000000
Chinese,The Trust,"('Comedy', 'Romance', 'Supernatural')",7300000
Chinese,You Are My Destiny,"('Drama', 'Comedy', 'Romance')",19800000
Chinese,Forget You Not,"('Drama', 'Comedy')",6800000
Chinese,The Prisoner of Beauty,"('Drama', 'Romance')",24700000
Chinese,Guardian,"('Drama', 'Supernatural')",16100000
Chinese,Sisyphus,"('Drama', 'Crime', 'Mystery')",12600000
Chinese,Kill Me Love Me,"('Drama', 'Romance')",14600000
Chinese,Aftershock,"('Drama', 'History')",1400000
Chinese,All I Want for Love Is You,"('Drama', 'Comedy', 'Romance')",25800000
Chinese,The Double,"('Drama', 'Romance')",17100000
Chinese,Flourished Peony,"('Romance',)",11700000
Chinese,Love Game in Eastern Fantasy,"('Fantasy', 'Romance', 'Mystery')",10600000
Chinese,Falling Into Your Smile,"('Action', 'Romance', 'Sports')",10300000
Chinese,Youthful Glory,"('Romance',)",9600000
Chinese,The Shadow,"('Drama', 'Family', 'Romance')",2000000
Chinese,A Clear Midsummer Night,"('Drama', 'Romance')",1400000
Chinese,Blossoms in Adversity,"('Drama', 'Romance')",13200000
Chinese,The Princess Royal,"('Drama', 'Romance')",13200000
Chinese,Who Rules the World,"('Drama', 'Fantasy', 'Romance')",10800000
Chinese,In Blossom,"('Drama', 'Fantasy', 'Thriller')",9800000
Chinese,Everyone Loves Me,"('Romance',)",7900000
Chinese,Last One Standing,"('Action', 'Science-Fiction', 'Thriller')",1500000
French,Lupin,"('Drama', 'Adventure', 'Crime')",16000000
French,Furies,"('Drama', 'Action', 'Crime')",13100000
French,Anthracite,"('Drama', 'Crime', 'Mystery')",11000000
French,Winter Palace,"('Drama', 'History')",8100000
French,Une mère parfaite,"('Drama', 'Crime', 'Thriller')",4000000
French,Braqueurs,"('Drama', 'Action', 'Crime')",5600000
French,Pax Massilia,"('Action', 'Crime', 'Thriller')",5100000
French,Disparu à jamais,"('Drama', 'Thriller', 'Mystery')",3900000
French,Kim Kong,"('Comedy',)",1700000
French,Marianne,"('Drama', 'Horror')",4200000
French,Into the Night,"('Drama', 'Science-Fiction', 'Thriller')",2700000
French,Into the Night,"('Drama', 'Science-Fiction', 'Thriller')",1600000
French,Grand Palais Chicha Lounge,"('Drama',)",4300000
French,La Révolution,"('Drama', 'Thriller', 'Mystery')",2600000
French,Les 7 Vies de Léa,"('Drama', 'Science-Fiction', 'Mystery')",2100000
German,Cassandra,"('Science-Fiction', 'Thriller')",193800000
German,Totenfrau,"('Drama', 'Thriller')",28800000
German,Totenfrau,"('Drama', 'Thriller')",26900000
German,How to Sell Drugs Online (Fast),"('Drama', 'Comedy', 'Crime')",8800000
German,Liebes Kind,"('Thriller',)",21400000
German,Achtsam Morden,"('Drama', 'Comedy', 'Crime')",16500000
German,Das Signal,"('Drama', 'Thriller', 'Mystery')",12500000
German,Dark,"('Drama', 'Science-Fiction', 'Supernatural')",10400000
